,lgb_gain
word_count,29908.245069384575
char_count,13891.452312350273
type_token_ratio,2517.70177590847
unique_word_count,2151.8268795609474
spell_err_ratio,1993.0313623845577
long_word_ratio,1929.1221821010113
sent_per_para,1364.5303924381733
comma_count,1217.0925264060497
avg_word_len,1154.4420689046383
sentence_count,1109.0012996196747
smog_index,933.3991559892893
punct_ratio,932.5550967752934
content_word_ratio,927.8289922177792
gunning_fog,731.2563416659832
comma_per_sent,686.6225126385689
avg_sentence_len,675.3816072046757
flesch_kincaid_grade,498.40680599212646
paragraph_count,449.74585585296154
spell_err_count,422.36518800258636
flesch_reading_ease,396.9464211165905
stopword_ratio,263.83714789152145
